country,year,gdp
North Korea,2000.0,37758033920.0
North Korea,2023.0,92395256808.02942
Norway,2000.0,242751291392.0
Norway,2023.0,471532091030.7716
Oman,2000.0,58124189696.0
Oman,2023.0,277170590696.846
Pakistan,2000.0,459798511616.0
Pakistan,2023.0,839881464795.2969
Palestine,2000.0,16535485440.0
Palestine,2023.0,12152122982.603045
Panama,2000.0,28706486272.0
Panama,2023.0,65933467576.36096
Paraguay,2000.0,26799187968.0
Paraguay,2023.0,35403276561.33673
Peru,2000.0,128561594368.0
Peru,2023.0,349748283234.01294
Philippines,2000.0,327247659008.0
Philippines,2023.0,662402686337.5399
Poland,2000.0,488207646720.0
Poland,2023.0,995988532231.3136
Portugal,2000.0,238756380672.0
Portugal,2023.0,215017999093.41815
Qatar,2000.0,30159720448.0
Qatar,2023.0,277623520874.6025
Romania,2000.0,157839294464.0
Romania,2023.0,333824447190.1869
Russia,2000.0,1547057496064.0
Russia,2023.0,2249325463838.3354
Rwanda,2000.0,8053572096.0
Rwanda,2023.0,9063254829.262705
Saint Lucia,2000.0,1100265088.0
Saint Lucia,2023.0,-8052902115.613929
Sao Tome and Principe,2000.0,312853568.0
Sao Tome and Principe,2023.0,28453815810.49429
Saudi Arabia,2000.0,488272429056.0
Saudi Arabia,2023.0,2114121526423.0176
Senegal,2000.0,20439619584.0
Senegal,2023.0,44826131910.0984
Serbia,2000.0,45972176896.0
Serbia,2023.0,126520153281.51146
Seychelles,2000.0,1136006784.0
Seychelles,2023.0,5416666669.394071
Sierra Leone,2000.0,3156876032.0
Sierra Leone,2023.0,9305872699.177944
Singapore,2000.0,152153571328.0
Singapore,2023.0,423351382932.9925
Slovakia,2000.0,74595098624.0
Slovakia,2023.0,136734632470.64828
Slovenia,2000.0,43078787072.0
Slovenia,2023.0,55231951406.01228
South Africa,2000.0,356072095744.0
South Africa,2023.0,949441163990.868
South Korea,2000.0,1086261690368.0
South Korea,2023.0,2212912925190.519
Spain,2000.0,1094998753280.0
Spain,2023.0,1518841197621.9746
